wl,delta,beta
0.0419999994,3.6744234E-06,1.74701782E-07
0.0481992178,4.83936901E-06,2.90276859E-07
0.0553134382,6.36024424E-06,4.80666984E-07
0.0634777248,8.32490332E-06,7.92046194E-07
0.0728470609,1.08091472E-05,1.29642854E-06
0.0835993215,1.37147936E-05,2.10302619E-06
0.0959386081,1.74951092E-05,2.16620674E-06
0.110099196,2.28889458E-05,1.43892385E-06
0.126349866,3.11483855E-05,2.3644468E-06
0.144999161,4.15972063E-05,3.89529623E-06
0.166401103,5.52128695E-05,6.41881707E-06
0.190961972,7.29322346E-05,1.05543004E-05
0.21914804,9.57135926E-05,1.71865431E-05
0.251494378,0.000124780403,2.75125803E-05
0.288615048,0.000161260585,4.41619995E-05
0.331214756,0.000204664539,7.08752268E-05
0.380102158,0.000248611672,0.000109054032
0.436205417,0.000289960648,0.000158109149
0.50058949,0.000321017054,0.000199638758
0.574476719,0.000389110064,8.12287326E-05
0.659269691,0.000600691943,0.000130107452
0.756578147,0.000830923847,0.000204063181
0.868249416,0.00110736873,0.000327192596
0.996403396,0.00144688284,0.00050909759
1.14347291,0.00186072721,0.000801514194
1.31225002,0.00228846911,0.00120950269
1.50593865,0.00275123888,0.00171799154
1.72821581,0.00328121847,0.00234344904
1.98330104,0.00382358814,0.00314280833
2.27603722,0.00444560871,0.00406912668
2.61198092,0.00511743454,0.00523444219
2.99751067,0.00571466563,0.00664140284
3.43994427,0.00616374193,0.00810356531
3.94768143,0.00657259114,0.00938247144
4.5303607,0.00711289002,0.0104558794
5.19904375,0.0080832392,0.0107141463
5.96642494,0.0102068661,0.00997402426
6.84707165,0.0154264113,0.00827532727
7.85770226,0.0249891989,0.00759031717
9.01750183,0.038651973,0.00985252857
10.3484888,0.0559089854,0.0167201906
11.8759308,0.0781164616,0.0290428046
13.6288214,0.10260725,0.0541050322
15.6404419,0.117045693,0.082170181
17.9489765,0.140748397,0.116186686
20.5982533,0.143058166,0.167601496
23.6385632,0.157525346,0.192164645
27.1276264,0.191736042,0.250693321
31.1316738,0.209236845,0.319283962
35.7267227,0.23304005,0.418586254
41.,0.164358616,0.550546587
