wl,delta,beta
0.0419999994,1.12838916E-06,2.55211337E-08
0.0481992178,1.4872478E-06,4.32005827E-08
0.0553134382,1.95878783E-06,7.29196685E-08
0.0634777248,2.57585316E-06,1.22599786E-07
0.0728470609,3.37770257E-06,2.05069639E-07
0.0835993215,4.40508848E-06,3.40794713E-07
0.0959386081,5.67356301E-06,5.61652371E-07
0.110099196,6.67262748E-06,9.15893509E-07
0.126349866,9.52296432E-06,2.03830595E-07
0.144999161,1.27938711E-05,3.43951513E-07
0.166401103,1.70381427E-05,5.78422316E-07
0.190961972,2.2628863E-05,9.70240308E-07
0.21914804,3.0018271E-05,1.62408378E-06
0.251494378,3.97910771E-05,2.71354202E-06
0.288615048,5.27038283E-05,4.52509039E-06
0.331214756,6.97209398E-05,7.52986898E-06
0.380102158,9.20377643E-05,1.24967592E-05
0.436205417,0.000121056713,2.06700497E-05
0.50058949,0.000158249226,3.4038163E-05
0.574476719,0.000204722077,5.57327548E-05
0.659269691,0.000260110392,9.03860855E-05
0.756578147,0.000319113955,0.000145298894
0.868249416,0.000356650969,0.000225057724
0.996403396,0.000256823638,0.000324971159
1.14347291,0.000498562411,7.54263601E-05
1.31225002,0.000745954341,0.000119554759
1.50593865,0.00103498623,0.000196137233
1.72821581,0.00139668107,0.000317646249
1.98330104,0.00185593707,0.000507428078
2.27603722,0.00242735422,0.000802841503
2.61198092,0.00313805649,0.00125057308
2.99751067,0.00395916682,0.00191263913
3.43994427,0.00493236352,0.00283586071
3.94768143,0.00604828633,0.00414657453
4.5303607,0.00714533729,0.00606305478
5.19904375,0.00804006029,0.00826607738
5.96642494,0.00889193732,0.0111866724
6.84707165,0.00899684895,0.0144587895
7.85770226,0.00896697957,0.0181178581
9.01750183,0.0080897538,0.0216757376
10.3484888,0.00709342537,0.0251876656
11.8759308,0.00627264194,0.0286567174
13.6288214,0.00526906783,0.0323496498
15.6404419,0.00410071714,0.0362043157
17.9489765,0.00182237593,0.0402255096
20.5982533,0.000402068341,0.0398477539
23.6385632,0.00294197444,0.0398380794
27.1276264,0.00802820735,0.0380208753
31.1316738,0.0230045784,0.0408911929
35.7267227,0.036603421,0.0583698638
41.,0.00553771341,0.0502667464
