wl,delta,beta
0.0419999994,2.04085813E-06,3.08644204E-08
0.0481992178,2.69188558E-06,5.25770147E-08
0.0553134382,3.55014686E-06,8.94119907E-08
0.0634777248,4.67995096E-06,1.51633174E-07
0.0728470609,6.16355828E-06,2.56183142E-07
0.0835993215,8.10350048E-06,4.30759343E-07
0.0959386081,1.06204825E-05,7.19924174E-07
0.110099196,1.38370542E-05,1.1942027E-06
0.126349866,1.77923284E-05,1.9620461E-06
0.144999161,2.14856373E-05,3.18459865E-06
0.166401103,2.95353566E-05,6.86670376E-07
0.190961972,3.98505254E-05,1.15917351E-06
0.21914804,5.31523983E-05,1.94468862E-06
0.251494378,7.06476058E-05,3.24830853E-06
0.288615048,9.37592631E-05,5.40823567E-06
0.331214756,0.000124321072,8.98208964E-06
0.380102158,0.000164707089,1.48877698E-05
0.436205417,0.000217957189,2.46285636E-05
0.50058949,0.000287861156,4.06570762E-05
0.574476719,0.00037892902,6.69520741E-05
0.659269691,0.00049605855,0.000109785666
0.756578147,0.000643348321,0.000179370123
0.868249416,0.000820869929,0.00029097739
0.996403396,0.00101956399,0.000467715377
1.14347291,0.00118940172,0.000748062448
1.31225002,0.0011923688,0.00105175946
1.50593865,0.000915003242,0.000205308344
1.72821581,0.00195840118,0.000332941068
1.98330104,0.00283998274,0.000516647939
2.27603722,0.0039204536,0.00082892488
2.61198092,0.00523368688,0.00131709373
2.99751067,0.00689698244,0.00203028764
3.43994427,0.00895266701,0.00311516179
3.94768143,0.0114783738,0.00469781598
4.5303607,0.0143638318,0.00697791716
5.19904375,0.0178280082,0.00999498367
5.96642494,0.0216708817,0.0143165709
6.84707165,0.0256062765,0.0194674768
7.85770226,0.0296795405,0.0262883231
9.01750183,0.034534391,0.0327003114
10.3484888,0.0414492302,0.0431685187
11.8759308,0.0471529216,0.056761492
13.6288214,0.0520545095,0.0742087737
15.6404419,0.0477464385,0.0972728208
17.9489765,0.0184931587,0.109784916
20.5982533,0.0473035127,0.0734735504
23.6385632,0.079079859,0.0854972079
27.1276264,0.117668152,0.101218663
31.1316738,0.167344779,0.129027963
35.7267227,0.226337299,0.177441895
41.,0.286070943,0.250716567
