wl,delta,beta
0.0419999994,5.54448945E-07,1.05091003E-09
0.0481992178,7.30754778E-07,1.77487425E-09
0.0553134382,9.63276534E-07,3.03301673E-09
0.0634777248,1.27003239E-06,5.22013321E-09
0.0728470609,1.67482733E-06,9.00570019E-09
0.0835993215,2.20919651E-06,1.55438435E-08
0.0959386081,2.91486117E-06,2.68111879E-08
0.110099196,3.84708028E-06,4.61996983E-08
0.126349866,5.07898039E-06,7.94867248E-08
0.144999161,6.7072383E-06,1.3649597E-07
0.166401103,8.85937243E-06,2.33875028E-07
0.190961972,1.17029758E-05,3.99697853E-07
0.21914804,1.54567078E-05,6.8108244E-07
0.251494378,2.04021817E-05,1.15653086E-06
0.288615048,2.68951335E-05,1.95587472E-06
0.331214756,3.53680953E-05,3.29160821E-06
0.380102158,4.63089891E-05,5.50707091E-06
0.436205417,6.01669744E-05,9.14736665E-06
0.50058949,7.7049488E-05,1.50578862E-05
0.574476719,9.54930656E-05,2.45050796E-05
0.659269691,9.8662953E-05,3.92450711E-05
0.756578147,0.000148657637,5.81791573E-06
0.868249416,0.000207078963,9.75620333E-06
0.996403396,0.000280284847,1.61819553E-05
1.14347291,0.00037648846,2.68130498E-05
1.31225002,0.000503428164,4.6020592E-05
1.50593865,0.000669292698,7.72856656E-05
1.72821581,0.000887932547,0.000125808583
1.98330104,0.00117827323,0.000207232311
2.27603722,0.00155263068,0.000339420192
2.61198092,0.00203585951,0.000550252211
2.99751067,0.00264373608,0.000880738022
3.43994427,0.00337806134,0.00139898737
3.94768143,0.0042595556,0.0021393972
4.5303607,0.00527226087,0.0032442587
5.19904375,0.00631786138,0.00486136973
5.96642494,0.0072048381,0.00700963661
6.84707165,0.00805251393,0.00994646456
7.85770226,0.00605536718,0.0136129092
9.01750183,0.00519595994,0.0164653622
10.3484888,-0.00215553632,0.0194751993
11.8759308,-0.0054118624,0.0103769414
13.6288214,0.00169780885,0.00183800049
15.6404419,0.0104005849,0.00234156894
17.9489765,0.0179825593,0.00410811743
20.5982533,0.0267251432,0.00469236821
23.6385632,0.0387483686,0.00572378514
27.1276264,0.0542645417,0.00741444947
31.1316738,0.074698329,0.00946250465
35.7267227,0.102571324,0.0114481039
41.,0.142440349,0.0140837235
