wl,delta,beta
0.0419999994,8.18807564E-07,1.0522937E-09
0.0481992178,1.07891344E-06,1.74047132E-09
0.0553134382,1.42180477E-06,2.9328513E-09
0.0634777248,1.87392936E-06,5.00313613E-09
0.0728470609,2.47020444E-06,8.58736904E-09
0.0835993215,3.2568073E-06,1.47865791E-08
0.0959386081,4.29477222E-06,2.54882089E-08
0.110099196,5.66483641E-06,4.39417569E-08
0.126349866,7.47376725E-06,7.56935705E-08
0.144999161,9.86272153E-06,1.30197108E-07
0.166401103,1.30180651E-05,2.23516892E-07
0.190961972,1.71854572E-05,3.82821383E-07
0.21914804,2.26873526E-05,6.53850122E-07
0.251494378,2.99439762E-05,1.11308202E-06
0.288615048,3.94969393E-05,1.88754382E-06
0.331214756,5.20300491E-05,3.18618686E-06
0.380102158,6.83745893E-05,5.34814171E-06
0.436205417,8.94584955E-05,8.91620584E-06
0.50058949,0.000116079435,1.47406517E-05
0.574476719,0.000147868865,2.411473E-05
0.659269691,0.000171124135,3.88769295E-05
0.756578147,0.000242511145,1.21007633E-05
0.868249416,0.00033006139,2.04191001E-05
0.996403396,0.000441995304,3.4227076E-05
1.14347291,0.000588854775,5.6994224E-05
1.31225002,0.000781264098,9.6046926E-05
1.50593865,0.00103063218,0.000159847448
1.72821581,0.00135108829,0.000261678419
1.98330104,0.00175920094,0.000428584608
2.27603722,0.00224511069,0.000696835574
2.61198092,0.00277289958,0.0011127477
2.99751067,0.00266918866,0.0017671868
3.43994427,0.00430170447,0.00130572601
3.94768143,0.00574930385,0.00201370032
4.5303607,0.00742476899,0.00306945667
5.19904375,0.00934736803,0.00462744758
5.96642494,0.0114276772,0.00673371926
6.84707165,0.0138719166,0.00966203026
7.85770226,0.0142911319,0.013431347
9.01750183,0.0163868126,0.0167299174
10.3484888,0.0135841202,0.0205855966
11.8759308,0.0155123631,0.0143470699
13.6288214,0.0279576257,0.00955860782
15.6404419,0.0434498228,0.0141983805
17.9489765,0.0598344952,0.0219916403
20.5982533,0.079398647,0.0315851234
23.6385632,0.104450695,0.0445588343
27.1276264,0.136441603,0.0662641972
31.1316738,0.173881218,0.0969327092
35.7267227,0.218993351,0.139174774
41.,0.271751583,0.205686018
