wl,delta,beta
0.0419999994,3.67900566E-06,1.40252993E-07
0.0481992178,4.85361988E-06,2.33362471E-07
0.0553134382,6.39593827E-06,3.87705967E-07
0.0634777248,8.41092424E-06,6.42628891E-07
0.0728470609,1.10192241E-05,1.0616269E-06
0.0835993215,1.43314346E-05,1.74581362E-06
0.0959386081,1.83044758E-05,2.85327428E-06
0.110099196,2.27813907E-05,2.92914206E-06
0.126349866,2.96167163E-05,1.90232709E-06
0.144999161,4.07791376E-05,3.12413795E-06
0.166401103,5.4572185E-05,5.11629878E-06
0.190961972,7.25309947E-05,8.354903E-06
0.21914804,9.59932731E-05,1.36072922E-05
0.251494378,0.000126506144,2.21001701E-05
0.288615048,0.000165784208,3.57850695E-05
0.331214756,0.000215392778,5.77430837E-05
0.380102158,0.000275756902,9.27744331E-05
0.436205417,0.00033986487,0.000148140898
0.50058949,0.000413974514,0.000215370921
0.574476719,0.000474420231,0.000300049753
0.659269691,0.000189879574,0.000481074123
0.756578147,0.000651123351,0.000164971367
0.868249416,0.000962240796,0.000254608225
0.996403396,0.0013104144,0.000390869391
1.14347291,0.00173258921,0.000591623306
1.31225002,0.00224395515,0.000887738541
1.50593865,0.00285717985,0.00131469127
1.72821581,0.00355765759,0.00192059984
1.98330104,0.00428397069,0.00272287196
2.27603722,0.00520291273,0.0036504548
2.61198092,0.00613117358,0.00494177826
2.99751067,0.00703418907,0.00630932953
3.43994427,0.00835706294,0.00794264115
3.94768143,0.00977374613,0.0101879472
4.5303607,0.0110002318,0.0129335048
5.19904375,0.0120807253,0.0152182477
5.96642494,0.0140274419,0.0176923592
6.84707165,0.0166859142,0.0204452928
7.85770226,0.0198568217,0.0232590996
9.01750183,0.0248799082,0.0254809614
10.3484888,0.032919094,0.0275156591
11.8759308,0.0462503694,0.029766269
13.6288214,0.0693317652,0.0335097462
15.6404419,0.107176356,0.0522220954
17.9489765,0.143640012,0.0980494767
20.5982533,0.164974898,0.171001643
23.6385632,0.115145624,0.273078769
27.1276264,0.0836922154,0.21628648
31.1316738,0.0224583521,0.240778759
35.7267227,0.121583045,0.137165681
41.,0.256690174,0.199144647
